Table C.1: Distribution (%) of the resident population by poverty status by sector,,,,,,,,
sector,                                    Poverty status,,,,,,,
,Non-poor,Vulnerable,Moderately poor,Severely poor,Total         count,,,
Nyarugenge,,,,,,,,
  Gitega,90,7.5,2.2,0.3,100,"32,945",,
  Kanyinya,65.7,18.5,12.6,3.2,100,"34,608",,
  Kigali,68.1,17.6,11.4,3,100,"71,619",,
  Kimisagara,86.4,9.7,3.4,0.5,100,"65,713",,
  Mageregere,56.3,18.7,18.1,6.9,100,"49,847",,
  Muhima,91.7,6.4,1.7,0.2,100,"27,195",,
  Nyakabanda,89.7,7.6,2.3,0.4,100,"33,924",,
  Nyamirambo,83.7,9.9,4.7,1.6,100,"61,987",,
  Nyarugenge,90.6,7,2.2,0.2,100,"20,673",,
  Rwezamenyo,94,4.9,1,0,100,"17,286",,
Gasabo,,,,,,,,
  Bumbogo,71.3,14.4,10.9,3.4,100,"123,525",,
  Gatsata,84,11.2,3.9,0.8,100,"56,768",,
  Gikomero,38.6,25,28.7,7.8,100,"19,161",,
  Gisozi,85.9,9.1,4,0.9,100,"91,564",,
  Jabana,69.5,14.9,12.1,3.5,100,"66,461",,
  Jali,60.2,17.7,17,5,100,"43,313",,
  Kacyiru,93,5.4,1.4,0.1,100,"35,660",,
  Kimihurura,91.5,6.8,1.6,0.1,100,"21,401",,
  Kimironko,91.7,6,1.9,0.3,100,"70,424",,
  Kinyinya,84.5,10.5,4.2,0.8,100,"146,389",,
  Ndera,73,13.7,9.9,3.4,100,"113,105",,
  Nduba,62.5,16.6,16,4.9,100,"71,155",,
  Remera,90.8,6.7,2.1,0.4,100,"49,371",,
  Rusororo,68.5,14.7,12,4.7,100,"66,577",,
  Rutunga,40.8,25.6,26.1,7.5,100,"22,460",,
Kicukiro,,,,,,,,
  Gahanga,72.8,14.7,9.2,3.3,100,"91,500",,
  Gatenga,85.4,9.2,4.2,1.2,100,"76,266",,
  Gikondo,91.8,5.9,1.9,0.3,100,"18,466",,
  Kagarama,90.2,6.9,2.6,0.4,100,"21,609",,
  Kanombe,83.7,9.9,5.1,1.3,100,"79,728",,
  Kicukiro,93.3,5.3,1.2,0.2,100,"17,982",,
  Kigarama,86.4,8.8,3.9,0.8,100,"70,740",,
  Masaka,74.5,14.2,9,2.4,100,"85,335",,
  Niboye,94.2,4.3,1.4,0.1,100,"30,306",,
  Nyarugunga,94.1,4.1,1.6,0.3,100,"49,735",,
Nyanza,,,,,,,,
  Busasamana,59,18.5,17.3,5.1,100,"54,321",,
  Busoro,33.7,21,29.7,15.6,100,"40,338",,
  Cyabakamyi,30.6,29,32.5,7.9,100,"24,979",,
  Kibilizi,27.1,22.7,32.1,18.1,100,"41,150",,
  Kigoma,36.3,22.5,30.2,10.9,100,"42,249",,
  Mukingo,42.9,24.3,25.8,7,100,"40,510",,
  Muyira,30.3,24.8,31.5,13.4,100,"43,489",,
  Ntyazo,26.5,22.3,33,18.2,100,"34,064",,
  Nyagisozi,30.4,29.2,32.1,8.2,100,"28,846",,
  Rwabicuma,35.6,26.6,30.9,6.9,100,"21,952",,
Gisagara,,,,,,,,
  Gikonko,32.2,21.9,34.5,11.5,100,"28,794",,
  Gishubi,21.3,19.9,38.9,20,100,"31,209",,
  Kansi,40.6,22.7,29.7,7,100,"23,524",,
  Kibirizi,36.8,22,32.1,9.1,100,"34,480",,
  Kigembe,32.8,24.3,35.6,7.3,100,"23,360",,
  Mamba,30.1,20.9,32.3,16.7,100,"44,880",,
  Muganza,29.8,21.4,34.8,14,100,"36,715",,
  Mugombwa,41.2,21.5,29.7,7.6,100,"34,760",,
  Mukindo,33,22.1,33.6,11.3,100,"32,209",,
  Musha,30.7,21.5,34.4,13.4,100,"29,634",,
  Ndora,30.7,22.7,33.1,13.5,100,"31,477",,
  Nyanza,26.3,22.8,40,10.9,100,"20,225",,
  Save,39.2,24.7,28.7,7.5,100,"33,173",,
Nyaruguru,,,,,,,,
  Busanze,32,26.6,31.8,9.6,100,"26,955",,
  Cyahinda,39.8,25.7,28.1,6.5,100,"21,972",,
  Kibeho,46.4,23.3,23.8,6.5,100,"25,307",,
  Kivu,37.1,24.6,31,7.3,100,"17,606",,
  Mata,43.4,28.1,23.3,5.2,100,"15,687",,
  Muganza,35.9,23.4,33.3,7.4,100,"19,277",,
  Munini,37.5,29.2,27.5,5.8,100,"17,990",,
  Ngera,35.9,23,33,8.1,100,"24,004",,
  Ngoma,44.2,19.3,30.5,6,100,"23,800",,
  Nyabimata,31.3,23.2,36.2,9.3,100,"17,166",,
  Nyagisozi,48.1,18.7,28.5,4.8,100,"18,554",,
  Ruheru,33,24,32.7,10.3,100,"24,408",,
  Ruramba,37.9,27.1,28.8,6.2,100,"17,294",,
  Rusenge,27.9,28.8,33.3,10,100,"25,099",,
Huye,,,,,,,,
  Gishamvu,40.8,22.9,29.3,7.1,100,"14,967",,
  Huye,48.8,22,22,7.2,100,"29,738",,
  Karama,38.5,30.3,26.1,5.2,100,"17,802",,
  Kigoma,42.1,26,27,4.9,100,"26,579",,
  Kinazi,38.5,23.3,28.9,9.2,100,"34,192",,
  Maraba,40.6,26.9,26.5,6.1,100,"27,614",,
  Mbazi,47.5,23.3,23.4,5.8,100,"37,487",,
  Mukura,46,18.2,26.6,9.2,100,"27,958",,
  Ngoma,79.4,10.5,8.3,1.8,100,"22,160",,
  Ruhashya,35.2,25.7,31,8.1,100,"25,967",,
  Rusatira,38,22.8,28.8,10.5,100,"31,725",,
  Rwaniro,27.5,30.5,33.8,8.2,100,"24,136",,
  Simbi,38.9,27.3,28,5.9,100,"24,196",,
  Tumba,68.8,13.9,12.5,4.8,100,"39,494",,
Nyamagabe,,,,,,,,
  Buruhukiro,23.1,29,35.4,12.6,100,"27,259",,
  Cyanika,40.6,27.7,27.3,4.5,100,"27,403",,
  Gasaka,60.5,20.5,16.4,2.6,100,"36,379",,
  Gatare,24,28.8,36.1,11.1,100,"17,838",,
  Kaduha,27,26.9,34.8,11.3,100,"23,844",,
  Kamegeri,28.4,32.1,31.7,7.9,100,"14,967",,
  Kibirizi,34.2,33.5,27.8,4.6,100,"22,044",,
  Kibumbwe,27,32.3,30.9,9.8,100,"14,131",,
  Kitabi,27.7,28.8,33.9,9.6,100,"26,391",,
  Mbazi,47.7,23.5,25.4,3.5,100,"13,131",,
  Mugano,24.4,28.6,35.8,11.2,100,"20,993",,
  Musange,42.1,26.9,26,4.9,100,"21,261",,
  Musebeya,25.4,30.7,33.7,10.1,100,"20,453",,
  Mushubi,29.7,27.6,35.4,7.4,100,"14,279",,
  Nkomane,17.1,30,39.7,13.1,100,"18,174",,
  Tare,33.1,29.5,29.2,8.2,100,"24,364",,
  Uwinkingi,27.5,30.7,33.7,8.1,100,"25,171",,
Ruhango,,,,,,,,
  Bweramana,41.2,25.7,25.7,7.4,100,"33,764",,
  Byimana,51.8,23.9,20.2,4.2,100,"42,413",,
  Kabagali,34.1,27.9,30.5,7.5,100,"27,203",,
  Kinazi,31.7,23.8,31.2,13.4,100,"52,274",,
  Kinihira,32.7,31.4,28.4,7.5,100,"27,966",,
  Mbuye,31.6,25,31,12.4,100,"47,148",,
  Mwendo,40.8,27.1,27.5,4.6,100,"26,967",,
  Ntongwe,28.8,25.6,33,12.6,100,"38,339",,
  Ruhango,47.6,22.8,23,6.7,100,"81,828",,
Muhanga,,,,,,,,
  Cyeza,51.3,23.5,22.3,2.9,100,"35,812",,
  Kabacuzi,43.3,26.8,26.6,3.4,100,"30,553",,
  Kibangu,41,26.1,28.5,4.4,100,"21,089",,
  Kiyumba,42.9,30.5,24.3,2.3,100,"26,827",,
  Muhanga,49.2,25,22.9,2.9,100,"29,642",,
  Mushishiro,45.1,26,25.5,3.4,100,"21,852",,
  Nyabinoni,25.7,32,35.6,6.7,100,"17,322",,
  Nyamabuye,79.2,11.3,7.9,1.6,100,"65,673",,
  Nyarusange,37.1,28.4,28.3,6.2,100,"28,838",,
  Rongi,30.5,31.1,32.5,6,100,"32,037",,
  Rugendabari,39.4,28,29.5,3.1,100,"19,081",,
  Shyogwe,61.4,17.2,17.2,4.2,100,"44,109",,
Kamonyi,,,,,,,,
  Gacurabwenge,56.9,22,17.8,3.4,100,"38,135",,
  Karama,50.3,25.5,21.6,2.7,100,"21,261",,
  Kayenzi,49.6,25.1,22.3,3,100,"26,339",,
  Kayumbu,46.1,25.9,24.9,3.1,100,"18,290",,
  Mugina,33.5,27.4,30.2,9,100,"47,020",,
  Musambira,46.1,27.6,22,4.3,100,"43,589",,
  Ngamba,41.4,29.2,25.9,3.4,100,"17,158",,
  Nyamiyaga,34.8,29.2,28.2,7.8,100,"46,360",,
  Nyarubaka,42.1,27.1,26.3,4.6,100,"29,438",,
  Rugarika,51.6,22.3,20.6,5.4,100,"62,366",,
  Rukoma,48.7,25.7,21.9,3.8,100,"40,850",,
  Runda,69.4,15.2,11.9,3.5,100,"74,546",,
Karongi,,,,,,,,
  Bwishyura,51.6,21.6,20.4,6.4,100,"41,162",,
  Gashari,36.5,32.1,27.3,4,100,"20,985",,
  Gishyita,45.3,24.6,25.8,4.3,100,"23,716",,
  Gitesi,29.6,31.1,31.4,7.9,100,"27,199",,
  Mubuga,38.1,24.7,30.4,6.9,100,"23,284",,
  Murambi,33.4,33.5,27.6,5.5,100,"23,012",,
  Murundi,20.9,34.4,34.7,10,100,"28,174",,
  Mutuntu,21.3,39.2,31.3,8.2,100,"24,032",,
  Rubengera,50.6,23.6,21.1,4.7,100,"41,382",,
  Rugabano,33.5,27.8,31.9,6.8,100,"33,129",,
  Ruganda,28.6,39,28.7,3.7,100,"18,821",,
  Rwankuba,39.9,23.5,29.9,6.7,100,"33,584",,
  Twumba,31.1,32.5,30.2,6.2,100,"27,171",,
Rutsiro,,,,,,,,
  Boneza,40.8,32.3,22.6,4.3,100,"23,492",,
  Gihango,42.1,30.5,23.5,3.9,100,"26,723",,
  Kigeyo,34.5,26.1,32.2,7.1,100,"23,356",,
  Kivumu,38.5,21.2,31.4,8.9,100,"32,601",,
  Manihira,26.4,33.5,31.9,8.2,100,"18,806",,
  Mukura,21.1,32.9,34,12.1,100,"36,563",,
  Murunda,28.3,29.9,27.4,14.4,100,"21,884",,
  Musasa,35.8,29,29.5,5.8,100,"25,523",,
  Mushonyi,37.8,27.3,29.9,5,100,"23,696",,
  Mushubati,38.2,28.4,27,6.4,100,"30,485",,
  Nyabirasi,23.9,22.8,35.2,18.2,100,"29,698",,
  Ruhango,28.4,31.4,29.8,10.4,100,"28,330",,
  Rusebeya,16.3,32.1,36.5,15,100,"25,931",,
Rubavu,,,,,,,,
  Bugeshi,33.6,24,31,11.4,100,"31,401",,
  Busasamana,27.5,19.5,35.2,17.8,100,"36,619",,
  Cyanzarwe,29.4,18,34.5,18.2,100,"34,008",,
  Gisenyi,88.9,7.5,2.9,0.7,100,"52,898",,
  Kanama,37.2,17.8,27.6,17.4,100,"33,972",,
  Kanzenze,43.1,20.8,24.5,11.5,100,"21,189",,
  Mudende,27.8,24,34.3,13.8,100,"29,830",,
  Nyakiriba,56.9,16,18.1,9,100,"38,087",,
  Nyamyumba,45.6,18.2,25.1,11,100,"43,553",,
  Nyundo,37.9,24.3,26.4,11.4,100,"37,859",,
  Rubavu,59.5,16.6,15.8,8.1,100,"73,918",,
  Rugerero,57.9,17.6,17.4,7.2,100,"62,814",,
Nyabihu,,,,,,,,
  Bigogwe,48.1,21.9,21.6,8.4,100,"31,177",,
  Jenda,41.7,26.4,24.2,7.6,100,"41,394",,
  Jomba,25.1,36.7,32.4,5.8,100,"21,057",,
  Kabatwa,49.5,24.4,21.8,4.3,100,"20,177",,
  Karago,25,33.9,33.1,8,100,"25,139",,
  Kintobo,25.2,39.1,30.4,5.3,100,"14,683",,
  Mukamira,49.6,25.9,20.4,4.1,100,"31,777",,
  Muringa,20.5,29.5,37.9,12.1,100,"21,365",,
  Rambura,29.9,31.1,31.9,7.2,100,"27,806",,
  Rugera,34,31.1,30.1,4.7,100,"25,479",,
  Rurembo,24.7,32.9,36.2,6.2,100,"23,260",,
  Shyira,36,31.9,27.7,4.5,100,"22,144",,
Ngororero,,,,,,,,
  Bwira,30.9,31.9,32.6,4.6,100,"20,477",,
  Gatumba,42.3,29,25.7,3,100,"26,279",,
  Hindiro,33.8,31.9,29.2,5.1,100,"25,911",,
  Kabaya,37.2,31.9,26.6,4.3,100,"34,944",,
  Kageyo,35,31.4,28.9,4.7,100,"26,231",,
  Kavumu,21.4,32.8,34.1,11.8,100,"32,141",,
  Matyazo,22,35.9,34.3,7.9,100,"27,471",,
  Muhanda,14.5,23.5,40.5,21.5,100,"30,793",,
  Muhororo,40.7,29.2,26.9,3.2,100,"23,020",,
  Ndaro,29,32,33.8,5.3,100,"25,395",,
  Ngororero,40.3,29.4,26.4,3.9,100,"41,062",,
  Nyange,32.3,34.1,28.8,4.8,100,"25,927",,
  Sovu,13.8,35.6,37,13.6,100,"30,713",,
Rusizi,,,,,,,,
  Bugarama,41.8,20.2,26.1,11.9,100,"36,595",,
  Butare,17.8,32.6,34.5,15.1,100,"21,932",,
  Bweyeye,25.3,28.3,33.6,12.8,100,"14,403",,
  Gashonga,42.4,22.1,28.6,6.8,100,"24,755",,
  Giheke,43.5,25.6,26.3,4.7,100,"18,782",,
  Gihundwe,65.2,17.3,13.9,3.5,100,"35,496",,
  Gikundamvura,30.5,21.8,35.2,12.5,100,"19,285",,
  Gitambi,38.6,27.7,28.4,5.2,100,"21,772",,
  Kamembe,74.5,14.6,9,1.8,100,"30,657",,
  Muganza,48.4,18.3,25.4,8,100,"29,446",,
  Mururu,48.3,22.9,22.7,6,100,"26,055",,
  Nkanka,36,28.1,30.1,5.8,100,"16,586",,
  Nkombo,16.8,27.8,36.9,18.6,100,"13,627",,
  Nkungu,37.2,26.2,31.2,5.4,100,"19,797",,
  Nyakabuye,38.7,24.4,29.5,7.3,100,"29,518",,
  Nyakarenzo,42.9,24.1,27.6,5.4,100,"16,482",,
  Nzahaha,38.5,21.7,31.4,8.4,100,"25,703",,
  Rwimbogo,46.1,21.8,26.8,5.3,100,"18,710",,
Nyamasheke,,,,,,,,
  Bushekeri,36.1,25.5,30.1,8.4,100,"25,151",,
  Bushenge,52.9,23.3,21.3,2.5,100,"19,441",,
  Cyato,32.1,27,34.1,6.8,100,"23,640",,
  Gihombo,30.6,30.9,29.7,8.9,100,"26,995",,
  Kagano,40.8,24.7,27.9,6.6,100,"35,272",,
  Kanjongo,44.3,24.5,25.1,6.2,100,"36,335",,
  Karambi,41.7,27.7,27.1,3.5,100,"26,999",,
  Karengera,42.8,26.1,27.1,4,100,"27,842",,
  Kirimbi,36.6,29.3,29.2,4.8,100,"22,628",,
  Macuba,42.6,28.6,23.9,4.9,100,"29,370",,
  Mahembe,38,28.2,28.6,5.2,100,"18,893",,
  Nyabitekeri,43.5,27.1,25.3,4.1,100,"24,855",,
  Rangiro,39.6,29,27.2,4.2,100,"15,863",,
  Ruharambuga,49.2,25.4,21.9,3.5,100,"24,076",,
  Shangi,47.2,23.4,24.4,5.1,100,"23,424",,
Rulindo,,,,,,,,
  Base,48.5,27.1,22.3,2.2,100,"20,937",,
  Burega,44.4,24.4,26.2,5,100,"14,883",,
  Bushoki,58.9,23.7,16,1.3,100,"23,720",,
  Buyoga,43.5,27.9,24.8,3.8,100,"25,351",,
  Cyinzuzi,39.6,27,29,4.4,100,"15,990",,
  Cyungo,38.7,27.4,29.2,4.7,100,"15,167",,
  Kinihira,44.4,29.9,23.2,2.5,100,"17,434",,
  Kisaro,36.1,31.2,28.1,4.5,100,"23,376",,
  Masoro,50.4,22,22.5,5.2,100,"27,678",,
  Mbogo,51.1,26.5,20.4,2,100,"19,465",,
  Murambi,53.5,21.8,20.1,4.6,100,"27,315",,
  Ngoma,42.9,29.6,24.3,3.2,100,"12,980",,
  Ntarabana,47.8,22.6,24.3,5.3,100,"25,455",,
  Rukozo,40.6,29.1,26.2,4.1,100,"17,066",,
  Rusiga,48.4,27.6,22.4,1.6,100,"13,835",,
  Shyorongi,61.7,20,15.3,3.1,100,"45,764",,
  Tumba,46.1,31,21,1.9,100,"21,093",,
Gakenke,,,,,,,,
  Busengo,37.8,32.7,26.7,2.7,100,"21,365",,
  Coko,49,28.3,21.1,1.6,100,"18,386",,
  Cyabingo,38.6,28.4,30,2.9,100,"19,289",,
  Gakenke,43.6,29.4,24.2,2.7,100,"25,527",,
  Gashenyi,40.1,28.3,28.9,2.7,100,"23,528",,
  Janja,29.6,38.2,28.2,4,100,"15,743",,
  Kamubuga,32.6,27.1,32.8,7.5,100,"22,768",,
  Karambo,37.3,28.4,31.1,3.3,100,"14,483",,
  Kivuruga,48.4,23.8,25.3,2.5,100,"19,357",,
  Mataba,22.3,32.8,37.7,7.2,100,"16,334",,
  Minazi,38.5,30.9,27.6,3,100,"14,455",,
  Mugunga,36.8,32.4,25.5,5.4,100,"20,833",,
  Muhondo,59.8,22,17.2,1,100,"22,312",,
  Muyongwe,41.1,30,26.6,2.4,100,"16,754",,
  Muzo,22.7,38.3,33.4,5.7,100,"22,140",,
  Nemba,37.7,32,27.3,3,100,"17,454",,
  Ruli,63.9,21.4,12.9,1.8,100,"24,995",,
  Rusasa,28.9,34.9,32.1,4.1,100,"18,945",,
  Rushashi,49.2,28.6,20.9,1.3,100,"19,637",,
Musanze,,,,,,,,
  Busogo,59.9,17.8,19,3.3,100,"27,750",,
  Cyuve,60.7,16.5,18.2,4.6,100,"61,755",,
  Gacaca,39.7,22.3,30.7,7.3,100,"29,526",,
  Gashaki,51.7,22.9,23.2,2.2,100,"13,835",,
  Gataraga,31.8,32.7,28.5,7,100,"25,323",,
  Kimonyi,41.3,21.8,27.5,9.3,100,"22,508",,
  Kinigi,43.2,26,26.4,4.4,100,"32,793",,
  Muhoza,78.9,10.8,8.7,1.7,100,"67,577",,
  Muko,45.6,22.5,25.7,6.2,100,"27,738",,
  Musanze,43.6,24.8,25,6.5,100,"49,323",,
  Nkotsi,43.3,27.8,25.5,3.4,100,"18,218",,
  Nyange,40,25.2,28.6,6.2,100,"32,685",,
  Remera,51.1,23.5,23.3,2.1,100,"19,805",,
  Rwaza,39.8,26.7,28.8,4.8,100,"24,168",,
  Shingiro,24.7,31.1,33.6,10.6,100,"24,380",,
Burera,,,,,,,,
  Bungwe,38.9,27.4,30.3,3.3,100,"15,819",,
  Butaro,42.2,25.5,27.9,4.4,100,"34,896",,
  Cyanika,36.1,25.1,32.6,6.1,100,"40,938",,
  Cyeru,41.6,26.9,27.5,4,100,"14,231",,
  Gahunga,34.4,28,31.5,6.1,100,"26,599",,
  Gatebe,31.1,28.7,33.5,6.6,100,"18,694",,
  Gitovu,36.2,32.9,27.1,3.8,100,"11,000",,
  Kagogo,33.1,28.2,32.3,6.4,100,"21,153",,
  Kinoni,43,26.6,26.5,3.8,100,"18,606",,
  Kinyababa,37.2,28.8,28.5,5.6,100,"21,804",,
  Kivuye,46.7,21.4,27.7,4.2,100,"16,462",,
  Nemba,39,27.3,29.1,4.5,100,"21,077",,
  Rugarama,38,29.9,28.5,3.6,100,"25,451",,
  Rugengabari,32.3,32.3,31.6,3.8,100,"20,121",,
  Ruhunde,35.3,31.6,28.7,4.4,100,"20,297",,
  Rusarabuye,44.4,26,26.2,3.4,100,"19,473",,
  Rwerere,41.3,26.6,27.5,4.6,100,"20,397",,
Gicumbi,,,,,,,,
  Bukure,43.1,23.6,26.9,6.5,100,"19,089",,
  Bwisige,36.6,32.3,27.5,3.6,100,"17,306",,
  Byumba,57,21.7,18,3.3,100,"43,033",,
  Cyumba,43.1,25,28,3.9,100,"16,806",,
  Giti,35,25,30.5,9.5,100,"16,650",,
  Kageyo,39.9,28.4,27.4,4.3,100,"19,969",,
  Kaniga,48.3,23,24.7,4,100,"16,006",,
  Manyagiro,37.1,26.3,31.3,5.2,100,"21,908",,
  Miyove,33.1,27.6,33,6.4,100,"20,545",,
  Mukarange,40.7,29.6,26.2,3.5,100,"17,718",,
  Muko,42.4,26.3,25.8,5.5,100,"20,209",,
  Mutete,43.5,26.6,24.8,5.1,100,"27,950",,
  Nyamiyaga,35,25.5,32.4,7.1,100,"20,217",,
  Nyankenke,38.5,28.3,30.1,3.2,100,"23,376",,
  Rubaya,36.6,24.8,31.7,6.9,100,"11,812",,
  Rukomo,38.1,31.8,25.3,4.8,100,"27,674",,
  Rushaki,43.5,27,26,3.5,100,"14,571",,
  Rutare,42,27.2,25.7,5,100,"27,606",,
  Ruvune,36.2,27.4,29.6,6.8,100,"22,324",,
  Rwamiko,46,25.6,24.6,3.8,100,"14,487",,
  Shangasha,40.7,31.5,25.3,2.5,100,"18,082",,
Rwamagana,,,,,,,,
  Fumbwe,51.2,19.5,21.2,8.1,100,"33,544",,
  Gahengeri,43.4,21.9,25.7,8.9,100,"36,463",,
  Gishali,52.8,20.3,20.7,6.3,100,"35,720",,
  Karenge,55,21,20.7,3.3,100,"30,062",,
  Kigabiro,67,15.4,13.6,4,100,"52,218",,
  Muhazi,60.7,18.6,16.5,4.2,100,"35,984",,
  Munyaga,37.6,22.1,32,8.2,100,"22,272",,
  Munyiginya,48.1,22.9,22.4,6.5,100,"25,043",,
  Musha,40.7,23.1,27.6,8.5,100,"27,614",,
  Muyumbu,63.3,18.5,14.5,3.6,100,"60,059",,
  Mwulire,52.8,20.5,20.5,6.3,100,"34,788",,
  Nyakaliro,62.1,19.1,15.7,3.2,100,"38,695",,
  Nzige,42.6,23.7,26.7,6.9,100,"20,125",,
  Rubona,38.4,24,28.1,9.5,100,"31,449",,
Nyagatare,,,,,,,,
  Gatunda,39.7,23.6,29.1,7.5,100,"36,547",,
  Karama,34.2,26.6,31.1,8.1,100,"33,037",,
  Karangazi,34.7,23.6,27.9,13.8,100,"92,748",,
  Katabagemu,38.2,25,28.5,8.3,100,"43,261",,
  Kiyombe,35,27.6,31.9,5.5,100,"19,273",,
  Matimba,45.9,22,25,7,100,"28,442",,
  Mimuri,36.5,24.7,29.2,9.6,100,"36,771",,
  Mukama,30.9,28.1,32.2,8.9,100,"26,827",,
  Musheri,29.9,25.2,32.3,12.6,100,"34,116",,
  Nyagatare,52.8,19.2,20.8,7.2,100,"82,927",,
  Rukomo,47.7,22.2,24.8,5.4,100,"43,649",,
  Rwempasha,37.6,25,25.4,11.9,100,"36,543",,
  Rwimiyaga,33,25.1,28.7,13.2,100,"77,017",,
  Tabagwe,32.3,29.7,28.6,9.5,100,"50,359",,
Gatsibo,,,,,,,,
  Gasange,30.3,25.3,30.9,13.5,100,"19,365",,
  Gatsibo,44.4,24.9,23.9,6.8,100,"38,071",,
  Gitoki,38.7,24.3,28.3,8.6,100,"43,369",,
  Kabarore,42.9,22.9,24.6,9.7,100,"69,312",,
  Kageyo,31.2,26.4,32,10.5,100,"25,167",,
  Kiramuruzi,37.2,27.2,26.7,8.9,100,"40,762",,
  Kiziguro,45.6,23.1,24,7.3,100,"39,958",,
  Muhura,36.9,22.9,29.6,10.6,100,"33,436",,
  Murambi,34.5,28,29.5,8,100,"36,887",,
  Ngarama,35,24.9,29.9,10.2,100,"38,843",,
  Nyagihanga,32.8,24.6,33.8,8.7,100,"30,114",,
  Remera,35.4,23.3,30.7,10.7,100,"32,297",,
  Rugarama,37.7,26.1,27.9,8.3,100,"49,927",,
  Rwimbogo,30.8,29.7,30.1,9.4,100,"47,136",,
Kayonza,,,,,,,,
  Gahini,38.6,23.3,27.2,10.9,100,"44,585",,
  Kabare,33.1,25.4,31.6,9.8,100,"40,334",,
  Kabarondo,49.9,21.1,22.1,6.9,100,"39,019",,
  Mukarange,61.9,16.5,16.1,5.5,100,"58,656",,
  Murama,43.9,24.4,26.3,5.4,100,"23,624",,
  Murundi,29.2,25.7,32.5,12.6,100,"56,261",,
  Mwiri,38.9,23.2,28,9.8,100,"35,228",,
  Ndego,27.7,29.9,32.6,9.9,100,"23,848",,
  Nyamirama,44.2,22.1,25.6,8.1,100,"38,763",,
  Rukara,45.8,25.3,22.2,6.7,100,"37,323",,
  Ruramira,32,24.5,33.1,10.4,100,"21,972",,
  Rwinkwavu,38.4,25.2,27.7,8.7,100,"36,975",,
Kirehe,,,,,,,,
  Gahara,35,20.1,34.9,10,100,"44,137",,
  Gatore,42.6,23.1,26.2,8.2,100,"31,413",,
  Kigarama,34.7,24.3,32.6,8.4,100,"37,679",,
  Kigina,45.7,23.3,24.4,6.6,100,"35,632",,
  Kirehe,48.6,24.2,21.8,5.3,100,"30,473",,
  Mahama,64.1,12.1,20.6,3.2,100,"75,542",,
  Mpanga,33.9,25.4,32,8.6,100,"39,346",,
  Musaza,38.4,23.3,29.8,8.5,100,"30,401",,
  Mushikiri,40.4,25.4,27.7,6.5,100,"32,965",,
  Nasho,39.6,26.3,27,7.2,100,"33,588",,
  Nyamugari,35.7,24.5,30.4,9.4,100,"42,145",,
  Nyarubuye,37.5,24.5,30,8,100,"22,064",,
Ngoma,,,,,,,,
  Gashanda,39.8,23.1,29.1,8,100,"20,233",,
  Jarama,24.9,22.7,34.9,17.5,100,"31,001",,
  Karembo,40.5,23.1,26.8,9.5,100,"17,918",,
  Kazo,40.8,23.4,27.1,8.7,100,"33,073",,
  Kibungo,63.9,16.2,16.1,3.8,100,"30,989",,
  Mugesera,36.9,24.6,30.4,8.2,100,"29,814",,
  Murama,46.1,22.7,25.6,5.6,100,"27,846",,
  Mutenderi,42.3,23.9,26.7,7,100,"25,739",,
  Remera,48.1,20,24.4,7.5,100,"33,049",,
  Rukira,49.7,22,23.7,4.6,100,"29,946",,
  Rukumberi,27.1,21.4,31.5,20,100,"39,946",,
  Rurenge,37.4,25.9,29.4,7.3,100,"33,876",,
  Sake,33.9,22.1,30.1,13.9,100,"28,710",,
  Zaza,38.9,23.8,26.9,10.3,100,"28,074",,
Bugesera,,,,,,,,
  Gashora,51.5,21.5,20.2,6.8,100,"33,560",,
  Juru,31.2,27.6,30.3,10.9,100,"34,020",,
  Kamabuye,31.4,26.9,30.5,11.2,100,"23,660",,
  Mareba,29.9,21.7,32.9,15.4,100,"28,866",,
  Mayange,63.1,18.3,15,3.6,100,"53,266",,
  Musenyi,32.7,23.8,31.5,12,100,"39,886",,
  Mwogo,30.6,27,30.4,12,100,"31,373",,
  Ngeruka,28.5,23,33.4,15.1,100,"35,192",,
  Ntarama,54.2,17.9,18.2,9.7,100,"50,127",,
  Nyamata,67.9,15.7,12.5,3.9,100,"85,982",,
  Nyarugenge,32,24,31,13,100,"25,347",,
  Rilima,58,21.1,16.8,4.1,100,"28,818",,
  Ruhuha,44.2,21.4,24.8,9.5,100,"28,654",,
  Rweru,32,23.3,29.1,15.6,100,"35,800",,
  Shyara,25.6,23.9,34.1,16.4,100,"16,366",,
  Rwanda,47,22.6,23.7,6.7,100,13 246 394,,
