district,count,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_score,poor_population,severely_poor_population,weighted_non_poor,weighted_vulnerable,weighted_moderately_poor,weighted_severely_poor,weighted_poverty_rate
Bugesera,576264,40.3,22.56875,26.35625,10.7625,37.11875,17.928125,195024.65099999998,55846.521,44.604406313772856,21.54267714103258,24.151800216567405,9.691134792386823,33.84293500895423
Burera,454484,38.195,27.775,29.360000000000003,4.64,34.0,16.735833333333332,156818.13,21856.13,37.98169066457785,27.479475185045015,29.695654852536062,4.808998776634601,34.50465362917066
Gakende,391759,39.78,29.994999999999997,26.839999999999996,3.3899999999999997,30.23,15.640833333333333,116950.442,13205.133,40.41910664464633,29.73029311387868,26.481921027978938,3.3707286877901983,29.852649715769136
Gasabo,1145447,76.56666666666666,12.133333333333333,8.783333333333333,2.488888888888889,11.272222222222222,6.194444444444445,114993.222,25839.578,78.2418599900301,11.688851164654496,7.783305905903983,2.2558510345742753,10.039156940478259
Gatsibo,862706,35.630434782608695,25.569565217391304,29.347826086956523,9.478260869565217,38.82608695652174,18.78333333333333,329351.145,80080.024,36.23853908515763,25.608181929881095,28.894098453007164,9.282423444371547,38.17652189737871
Gicumbi,563094,40.45925925925926,27.203703703703702,27.38148148148148,4.95925925925926,32.34074074074074,16.140740740740743,179168.147,27581.561999999998,41.030638934174405,27.1532431530082,26.920298387125417,4.898216283604514,31.818514670729932
Gisagara,541984,32.45882352941176,22.041176470588233,33.73529411764706,11.782352941176471,45.51764705882353,20.809803921568626,247164.427,65260.874,32.46833393605715,21.945218678042156,33.56253191976147,12.041107117553285,45.60363903731475
Huye,629649,48.2304347826087,22.169565217391302,23.452173913043477,6.1695652173913045,29.62173913043478,14.597101449275362,186111.758,39883.424999999996,48.72667692635103,21.728571315129535,23.223785474129237,6.3342314527617765,29.558016926891014
Kamonyi,554234,47.059999999999995,25.493333333333332,23.0,4.48,27.48,14.155555555555557,150961.133,27180.872,48.11989646972217,24.66751263906581,22.333574086035863,4.904223125972063,27.237797212007926
Karongi,439849,34.25625,30.5625,28.7875,6.39375,35.18125,17.886458333333334,153420.959,28480.11,35.41866754272489,29.701485055098455,28.405395715347765,6.474974366202947,34.88037008155071
Kayonza,595129,41.24,23.546666666666667,26.66,8.546666666666665,35.20666666666667,17.084444444444447,206382.883,51641.785,42.345689253926466,22.966940948937122,26.00126997676134,8.677410275755339,34.67868025251668
Kicukiro,612407,86.61818181818181,8.372727272727273,4.0,1.009090909090909,5.009090909090909,3.233333333333333,39742.031,8508.345000000001,83.74463289936268,9.765353433255989,5.10015169650249,1.3893285021235877,6.489480198626078
Kirehe,493064,40.83846153846154,23.138461538461538,28.46153846153846,7.561538461538461,36.02307692307692,17.124358974358977,174340.679,35959.415,42.47845898301235,22.1619331364691,28.065578505021666,7.2930522204014085,35.358630725423076
Muhanga,372835,45.50833333333333,25.491666666666664,25.09166666666667,3.9250000000000003,29.016666666666666,14.575000000000001,97736.879,13590.48,50.35235077178914,23.449923961001517,22.5693400565934,3.64517279761825,26.21451285421165
Musanze,597222,46.71,23.53,24.845,4.915,29.76,14.660833333333334,169668.86000000002,29399.626,49.357830254076376,22.235824031934524,23.486950246307067,4.922729906132059,28.409680152439126
Ngoma,537207,42.26111111111111,22.08888888888889,26.75,8.88888888888889,35.638888888888886,17.04259259259259,192546.149,48802.864,42.163524860994,21.98659492523366,26.75752270540034,9.084554743329853,35.842077448730194
Ngororero,448753,30.96875,31.59375,30.7125,6.7437499999999995,37.45625,18.875,168986.64800000002,31186.231,30.84073800063732,31.521264927476807,30.707408529859407,6.949531479455291,37.656940009314695
Nyabihu,305458,34.108333333333334,30.400000000000002,28.974999999999998,6.516666666666667,35.49166666666667,17.983333333333334,106599.634,20169.215,35.471440918227714,29.624723857289705,28.295352879937667,6.602942139344853,34.89829501928252
Nyagatare,751240,37.911764705882355,24.88235294117647,28.38235294117647,8.829411764705881,37.21176470588235,18.022549019607844,278415.346,70409.895,38.559553005697246,24.388054416697727,27.688282173473187,9.372490149619296,37.06077232309248
Nyamagabe,430660,33.1,28.589999999999996,30.685000000000002,7.654999999999999,38.339999999999996,18.820833333333333,162604.493,32502.03,33.86919983281475,28.402030371987184,30.21001787953374,7.547027817768077,37.75704569730182
Nyamasheke,380784,41.2,26.71333333333333,26.86,5.246666666666667,32.10666666666667,16.02888888888889,122712.824,20478.446,41.18950664943905,26.607578574730027,26.84839121391655,5.377969137358713,32.22636035127526
Nyanza,497314,36.776923076923076,23.930769230769233,28.823076923076922,10.423076923076923,39.246153846153845,18.807692307692307,189888.75699999998,51573.549,38.62687979827634,23.13981307584343,27.812450081839643,10.370419694599386,38.18286977643903
Nyarugenge,436470,82.43636363636364,10.436363636363636,5.618181818181818,1.5,7.118181818181818,4.362121212121212,38132.380000000005,8387.439000000002,79.49216807569822,11.769537425252595,6.814887850253168,1.9216530345728229,8.736540884825992
Nyaruguru,399827,38.87894736842105,23.63684210526316,30.41578947368421,7.084210526315789,37.5,17.62017543859649,150681.828,28786.789,38.75933741343131,23.568682455161863,30.486945353865547,7.199811168330303,37.68675652219585
Rubavu,532767,44.06153846153846,18.753846153846155,25.23076923076923,11.946153846153846,37.176923076923075,17.50897435897436,182693.936,58684.775,47.67738823913644,18.03150776981307,23.27643435122671,11.015091963278506,34.29152631450521
Ruhango,539970,37.69166666666667,25.933333333333334,27.758333333333336,8.658333333333333,36.416666666666664,17.904166666666665,193776.847,47406.939,39.15617478748819,25.01475507898587,27.107044465433265,8.779550530585032,35.886594996018296
Rulindo,440862,46.28181818181818,26.931818181818183,23.318181818181817,3.4681818181818183,26.786363636363635,13.995454545454548,116853.485,15732.312,47.081715593541745,26.41294577441467,22.93714881300724,3.5685343712998625,26.505683184307102
Rusizi,497203,41.68571428571428,23.042857142857144,27.37142857142857,7.895238095238096,35.266666666666666,16.91190476190476,168343.687,37796.312,43.92272069959353,22.209584817468915,26.256353038899604,7.601786795333092,33.858139834232695
Rutsiro,411981,30.773333333333333,29.446666666666665,30.313333333333333,9.479999999999999,39.79333333333333,19.752222222222223,165810.395,39957.252,30.38671030945602,29.385382335593146,30.548288149210762,9.69880941111362,40.247097560324384
Rwamagana,511650,50.42666666666666,20.913333333333334,22.233333333333334,6.4,28.633333333333333,14.096666666666666,138165.047,30921.492,52.61106244503078,20.363620639108767,20.96033519007134,6.04348519495749,27.00382038502883
